Time: 1649265932.5786762
DKT_MasteryGrids_fold_1,0.7824553310784345
DKT_MasteryGrids_fold_2,0.8153474393913369
DKT_MasteryGrids_fold_3,0.8128386043305817
DKT_MasteryGrids_fold_4,0.7963260397016854
DKT_MasteryGrids_fold_5,0.8073673450903774
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736905192379
DKT_MasteryGrids_fold_4,0.6702537091902443,0.7142928728649712
DKT_MasteryGrids_fold_5,0.6557997001180009,0.7416784210819585
DKT_MasteryGrids_fold_1,0.4934048528701076,0.4852311038962201
DKT_MasteryGrids_fold_2,0.4969807961547496,0.4925741351219095
DKT_MasteryGrids_fold_3,0.49605989695867087,0.49344157984790704
DKT_MasteryGrids_fold_4,0.4987930346136551,0.49482240324503685
DKT_MasteryGrids_fold_5,0.5003239093384539,0.49714150534466256
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736905192379
DKT_MasteryGrids_fold_4,0.6702537091902443,0.7142928728649712
DKT_MasteryGrids_fold_5,0.6557997001180009,0.7416784210819585
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736905192379
DKT_MasteryGrids_fold_4,0.6702537091902443,0.7142928728649712
DKT_MasteryGrids_fold_5,0.6557997001180009,0.7416784210819585
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736905192379
DKT_MasteryGrids_fold_4,0.6702537091902443,0.7142928728649712
DKT_MasteryGrids_fold_5,0.6557997001180009,0.7416784210819585
DKT_MasteryGrids_fold_1,0.6578182815994944,0.7204820665651399
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736293312581
DKT_MasteryGrids_fold_4,0.6702537091902444,0.7142928727578848
DKT_MasteryGrids_fold_5,0.6557995226730311,0.7416783820028203
DKT_MasteryGrids_fold_1,0.5820321572996959,0.6494429220445546
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736293312581
DKT_MasteryGrids_fold_4,0.6702537091902444,0.7142928727578848
DKT_MasteryGrids_fold_5,0.6557995226730311,0.7416783820028203
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736293312581
DKT_MasteryGrids_fold_4,0.6702537091902444,0.7142928727578848
DKT_MasteryGrids_fold_5,0.6557995226730311,0.7416783820028203
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736293312581
DKT_MasteryGrids_fold_4,0.6702537091902444,0.7142928727578848
DKT_MasteryGrids_fold_5,0.6557995226730311,0.7416783820028203
DKT_MasteryGrids_fold_1,0.5700980351396523,0.6423706721855902
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736293312581
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736293312581
DKT_MasteryGrids_fold_4,0.6702537091902444,0.7142928727578848
DKT_MasteryGrids_fold_5,0.6557995226730311,0.7416783820028203
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736293312581
DKT_MasteryGrids_fold_4,0.6702537091902444,0.7142928727578848
DKT_MasteryGrids_fold_5,0.6557995226730311,0.7416783820028203
DKT_MasteryGrids_fold_1,0.6641100477010109,0.7329919258361791
DKT_MasteryGrids_fold_1,0.655944055944056,0.7219935874133114
DKT_MasteryGrids_fold_2,0.6375188695906636,0.714530077055393
DKT_MasteryGrids_fold_3,0.6436308372089751,0.7254736293312581
DKT_MasteryGrids_fold_4,0.6702537091902444,0.7142928727578848
DKT_MasteryGrids_fold_5,0.6557995226730311,0.7416783820028203
